Date,Opening Price
2022-09-01,156.639999
2022-09-02,159.75
2022-09-06,156.470001
2022-09-07,154.820007
2022-09-08,154.639999
2022-09-09,155.470001
2022-09-12,159.589996
2022-09-13,159.899994
2022-09-14,154.789993
2022-09-15,154.649994
2022-09-16,151.210007
2022-09-19,149.309998
2022-09-20,153.399994
2022-09-21,157.339996
2022-09-22,152.380005
2022-09-23,151.190002
2022-09-26,149.660004
2022-09-27,152.740005
2022-09-28,147.639999
2022-09-29,146.100006
2022-09-30,141.279999
2022-10-03,138.210007
2022-10-04,145.029999
2022-10-05,144.070007
2022-10-06,145.809998
2022-10-07,142.539993
2022-10-10,140.419998
2022-10-11,139.899994
2022-10-12,139.130005
2022-10-13,134.990005
2022-10-14,144.309998
2022-10-17,141.070007
2022-10-18,145.490005
2022-10-19,141.690002
2022-10-20,143.020004
2022-10-21,142.869995
2022-10-24,147.190002
2022-10-25,150.089996
2022-10-26,150.960007
2022-10-27,148.070007
2022-10-28,148.199997
2022-10-31,153.160004
2022-11-01,155.080002
2022-11-02,148.949997
2022-11-03,142.059998
2022-11-04,142.089996
2022-11-07,137.110001
2022-11-08,140.410004
2022-11-09,138.5
2022-11-10,141.240005
2022-11-11,145.820007
2022-11-14,148.970001
2022-11-15,152.220001
2022-11-16,149.130005
2022-11-17,146.429993
2022-11-18,152.309998
2022-11-21,150.160004
2022-11-22,148.130005
2022-11-23,149.449997
2022-11-25,148.309998
2022-11-28,145.139999
2022-11-29,144.289993
2022-11-30,141.399994
2022-12-01,148.210007
2022-12-02,145.960007
2022-12-05,147.770004
2022-12-06,147.070007
2022-12-07,142.190002
2022-12-08,142.360001
2022-12-09,142.339996
2022-12-12,142.699997
2022-12-13,149.5
2022-12-14,145.350006
2022-12-15,141.110001
2022-12-16,136.690002
2022-12-19,135.110001
2022-12-20,131.389999
2022-12-21,132.979996
2022-12-22,134.350006
2022-12-23,130.919998
2022-12-27,131.380005
2022-12-28,129.669998
2022-12-29,127.989998
2022-12-30,128.410004
2023-01-03,130.279999
2023-01-04,126.889999
2023-01-05,127.129997
2023-01-06,126.010002
2023-01-09,130.470001
2023-01-10,130.259995
2023-01-11,131.25
2023-01-12,133.880005
2023-01-13,132.029999
2023-01-17,134.830002
2023-01-18,136.820007
2023-01-19,134.080002
2023-01-20,135.279999
2023-01-23,138.119995
2023-01-24,140.309998
2023-01-25,140.889999
2023-01-26,143.169998
2023-01-27,143.160004
2023-01-30,144.960007
2023-01-31,142.699997
2023-02-01,143.970001
2023-02-02,148.899994
2023-02-03,148.029999
2023-02-06,152.570007
2023-02-07,150.639999
2023-02-08,153.880005
2023-02-09,153.779999
2023-02-10,149.460007
2023-02-13,150.949997
2023-02-14,152.119995
2023-02-15,153.110001
2023-02-16,153.509995
2023-02-17,152.350006
2023-02-21,150.199997
2023-02-22,148.869995
2023-02-23,150.089996
2023-02-24,147.110001
2023-02-27,147.710007
2023-02-28,147.050003
2023-03-01,146.830002
2023-03-02,144.380005
2023-03-03,148.039993
2023-03-06,153.789993
2023-03-07,153.699997
2023-03-08,152.809998
2023-03-09,153.559998
2023-03-10,150.210007
2023-03-13,147.809998
2023-03-14,151.279999
2023-03-15,151.190002
2023-03-16,152.160004
2023-03-17,156.080002
2023-03-20,155.070007
2023-03-21,157.320007
2023-03-22,159.300003
2023-03-23,158.830002
2023-03-24,158.860001
2023-03-27,159.940002
2023-03-28,157.970001
2023-03-29,159.369995
2023-03-30,161.529999
2023-03-31,162.440002
2023-04-03,164.270004
2023-04-04,166.600006
2023-04-05,164.740005
2023-04-06,162.429993
2023-04-10,161.419998
2023-04-11,162.350006
2023-04-12,161.220001
2023-04-13,161.630005
2023-04-14,164.589996
2023-04-17,165.089996
2023-04-18,166.100006
2023-04-19,165.800003
2023-04-20,166.089996
2023-04-21,165.050003
2023-04-24,165
2023-04-25,165.190002
2023-04-26,163.059998
2023-04-27,165.190002
2023-04-28,168.490005
2023-05-01,169.279999
2023-05-02,170.089996
2023-05-03,169.5
2023-05-04,164.889999
2023-05-05,170.979996
2023-05-08,172.479996
2023-05-09,173.050003
2023-05-10,173.020004
2023-05-11,173.850006
2023-05-12,173.619995
2023-05-15,173.160004
2023-05-16,171.990005
2023-05-17,171.710007
2023-05-18,173
2023-05-19,176.389999
2023-05-22,173.979996
2023-05-23,173.130005
2023-05-24,171.089996
2023-05-25,172.410004
2023-05-26,173.320007
2023-05-30,176.960007
2023-05-31,177.330002
2023-06-01,177.699997
2023-06-02,181.029999
2023-06-05,182.630005
2023-06-06,179.970001
2023-06-07,178.440002
2023-06-08,177.899994
2023-06-09,181.5
2023-06-12,181.270004
2023-06-13,182.800003
2023-06-14,183.369995
2023-06-15,183.960007
2023-06-16,186.729996
2023-06-20,184.410004
2023-06-21,184.899994
2023-06-22,183.740005
2023-06-23,185.550003
2023-06-26,186.830002
2023-06-27,185.889999
2023-06-28,187.929993
2023-06-29,189.080002
2023-06-30,191.630005
2023-07-03,193.779999
2023-07-05,191.570007
2023-07-06,189.839996
2023-07-07,191.410004
2023-07-10,189.259995
2023-07-11,189.160004
2023-07-12,189.679993
2023-07-13,190.5
2023-07-14,190.229996
2023-07-17,191.899994
2023-07-18,193.350006
2023-07-19,193.100006
2023-07-20,195.089996
2023-07-21,194.100006
2023-07-24,193.410004
2023-07-25,193.330002
2023-07-26,193.669998
2023-07-27,196.020004
2023-07-28,194.669998
2023-07-31,196.059998
2023-08-01,196.240005
2023-08-02,195.039993
2023-08-03,191.570007
2023-08-04,185.520004
2023-08-07,182.130005
2023-08-08,179.690002
2023-08-09,180.869995
2023-08-10,179.479996
2023-08-11,177.320007
2023-08-14,177.970001
2023-08-15,178.880005
2023-08-16,177.130005
2023-08-17,177.139999
2023-08-18,172.300003
2023-08-21,175.070007
2023-08-22,177.059998
2023-08-23,178.520004
2023-08-24,180.669998
2023-08-25,177.380005
2023-08-28,180.089996
2023-08-29,179.699997
2023-08-30,184.940002
2023-08-31,187.839996
