Date,Opening Prices
2022-09-01,126.0
2022-09-02,129.5
2022-09-03,129.5
2022-09-04,129.5
2022-09-05,129.5
2022-09-06,127.92
2022-09-07,126.12
2022-09-08,127.72
2022-09-09,130.91
2022-09-10,130.91
2022-09-11,130.91
2022-09-12,134.1
2022-09-13,131.01
2022-09-14,127.36
2022-09-15,127.38
2022-09-16,122.78
2022-09-17,122.78
2022-09-18,122.78
2022-09-19,122.16
2022-09-20,123.35
2022-09-21,122.49
2022-09-22,117.08
2022-09-23,116.0
2022-09-24,116.0
2022-09-25,116.0
2022-09-26,113.3
2022-09-27,117.2
2022-09-28,114.38
2022-09-29,115.6
2022-09-30,114.08
2022-10-01,114.08
2022-10-02,114.08
2022-10-03,113.58
2022-10-04,119.89
2022-10-05,118.58
2022-10-06,120.77
2022-10-07,118.0
2022-10-08,118.0
2022-10-09,118.0
2022-10-10,115.1
2022-10-11,112.71
2022-10-12,112.49
2022-10-13,107.88
2022-10-14,114.1
2022-10-15,114.1
2022-10-16,114.1
2022-10-17,110.11
2022-10-18,119.06
2022-10-19,114.71
2022-10-20,113.83
2022-10-21,114.79
2022-10-22,114.79
2022-10-23,114.79
2022-10-24,119.98
2022-10-25,119.65
2022-10-26,116.0
2022-10-27,113.92
2022-10-28,97.91
2022-10-29,97.91
2022-10-30,97.91
2022-10-31,103.56
2022-11-01,103.99
2022-11-02,97.32
2022-11-03,92.47
2022-11-04,91.49
2022-11-05,91.49
2022-11-06,91.49
2022-11-07,91.95
2022-11-08,90.79
2022-11-09,89.47
2022-11-10,92.94
2022-11-11,97.88
2022-11-12,97.88
2022-11-13,97.88
2022-11-14,98.77
2022-11-15,103.21
2022-11-16,96.85
2022-11-17,95.37
2022-11-18,95.95
2022-11-19,95.95
2022-11-20,95.95
2022-11-21,93.97
2022-11-22,92.62
2022-11-23,93.24
2022-11-24,93.24
2022-11-25,93.79
2022-11-26,93.79
2022-11-27,93.79
2022-11-28,93.93
2022-11-29,94.04
2022-11-30,92.47
2022-12-01,96.99
2022-12-02,94.48
2022-12-03,94.48
2022-12-04,94.48
2022-12-05,93.05
2022-12-06,90.5
2022-12-07,88.34
2022-12-08,89.24
2022-12-09,88.9
2022-12-10,88.9
2022-12-11,88.9
2022-12-12,89.21
2022-12-13,95.23
2022-12-14,92.5
2022-12-15,89.89
2022-12-16,88.27
2022-12-17,88.27
2022-12-18,88.27
2022-12-19,87.51
2022-12-20,85.33
2022-12-21,86.18
2022-12-22,85.52
2022-12-23,83.25
2022-12-24,83.25
2022-12-25,83.25
2022-12-26,83.25
2022-12-27,84.97
2022-12-28,82.8
2022-12-29,82.87
2022-12-30,83.12
2022-12-31,83.12
2023-01-01,83.12
2023-01-02,83.12
2023-01-03,85.46
2023-01-04,86.55
2023-01-05,85.33
2023-01-06,83.03
2023-01-07,83.03
2023-01-08,83.03
2023-01-09,87.46
2023-01-10,87.57
2023-01-11,90.93
2023-01-12,96.93
2023-01-13,94.18
2023-01-14,94.18
2023-01-15,94.18
2023-01-16,94.18
2023-01-17,98.68
2023-01-18,97.25
2023-01-19,94.74
2023-01-20,93.86
2023-01-21,93.86
2023-01-22,93.86
2023-01-23,97.56
2023-01-24,96.93
2023-01-25,92.56
2023-01-26,98.24
2023-01-27,99.53
2023-01-28,99.53
2023-01-29,99.53
2023-01-30,101.09
2023-01-31,101.16
2023-02-01,102.53
2023-02-02,110.25
2023-02-03,105.26
2023-02-04,105.26
2023-02-05,105.26
2023-02-06,102.93
2023-02-07,101.17
2023-02-08,102.04
2023-02-09,101.32
2023-02-10,97.56
2023-02-11,97.56
2023-02-12,97.56
2023-02-13,97.85
2023-02-14,98.41
