Date,Opening Price
2022-09-01,156.64
2022-09-02,159.75
2022-09-03,159.75
2022-09-04,159.75
2022-09-05,159.75
2022-09-06,156.47
2022-09-07,154.82
2022-09-08,154.64
2022-09-09,155.47
2022-09-10,155.47
2022-09-11,155.47
2022-09-12,159.59
2022-09-13,159.9
2022-09-14,154.79
2022-09-15,154.65
2022-09-16,151.21
2022-09-17,151.21
2022-09-18,151.21
2022-09-19,149.31
2022-09-20,153.4
2022-09-21,157.34
2022-09-22,152.38
2022-09-23,151.19
2022-09-24,151.19
2022-09-25,151.19
2022-09-26,149.66
2022-09-27,152.74
2022-09-28,147.64
2022-09-29,146.1
2022-09-30,141.28
2022-10-01,141.28
2022-10-02,141.28
2022-10-03,138.21
2022-10-04,145.03
2022-10-05,144.07
2022-10-06,145.81
2022-10-07,142.54
2022-10-08,142.54
2022-10-09,142.54
2022-10-10,140.42
2022-10-11,139.9
2022-10-12,139.13
2022-10-13,134.99
2022-10-14,144.31
2022-10-15,144.31
2022-10-16,144.31
2022-10-17,141.07
2022-10-18,145.49
2022-10-19,141.69
2022-10-20,143.02
2022-10-21,142.87
2022-10-22,142.87
2022-10-23,142.87
2022-10-24,147.19
2022-10-25,150.09
2022-10-26,150.96
2022-10-27,148.07
2022-10-28,148.2
2022-10-29,148.2
2022-10-30,148.2
2022-10-31,153.16
2022-11-01,155.08
2022-11-02,148.95
2022-11-03,142.06
2022-11-04,142.09
2022-11-05,142.09
2022-11-06,142.09
2022-11-07,137.11
2022-11-08,140.41
2022-11-09,138.5
2022-11-10,141.24
2022-11-11,145.82
2022-11-12,145.82
2022-11-13,145.82
2022-11-14,148.97
2022-11-15,152.22
2022-11-16,149.13
2022-11-17,146.43
2022-11-18,152.31
2022-11-19,152.31
2022-11-20,152.31
2022-11-21,150.16
2022-11-22,148.13
2022-11-23,149.45
2022-11-24,149.45
2022-11-25,148.31
2022-11-26,148.31
2022-11-27,148.31
2022-11-28,145.14
2022-11-29,144.29
2022-11-30,141.4
2022-12-01,148.21
2022-12-02,145.96
2022-12-03,145.96
2022-12-04,145.96
2022-12-05,147.77
2022-12-06,147.07
2022-12-07,142.19
2022-12-08,142.36
2022-12-09,142.34
2022-12-10,142.34
2022-12-11,142.34
2022-12-12,142.7
2022-12-13,149.5
2022-12-14,145.35
2022-12-15,141.11
2022-12-16,136.69
2022-12-17,136.69
2022-12-18,136.69
2022-12-19,135.11
2022-12-20,131.39
2022-12-21,132.98
2022-12-22,134.35
2022-12-23,130.92
2022-12-24,130.92
2022-12-25,130.92
2022-12-26,130.92
2022-12-27,131.38
2022-12-28,129.67
2022-12-29,127.99
2022-12-30,128.41
2022-12-31,128.41
2023-01-01,128.41
2023-01-02,128.41
2023-01-03,130.28
2023-01-04,126.89
2023-01-05,127.13
2023-01-06,126.01
2023-01-07,126.01
2023-01-08,126.01
2023-01-09,130.47
2023-01-10,130.26
2023-01-11,131.25
2023-01-12,133.88
2023-01-13,132.03
2023-01-14,132.03
2023-01-15,132.03
2023-01-16,132.03
2023-01-17,134.83
2023-01-18,136.82
2023-01-19,134.08
2023-01-20,135.28
2023-01-21,135.28
2023-01-22,135.28
2023-01-23,138.12
2023-01-24,140.31
2023-01-25,140.89
2023-01-26,143.17
2023-01-27,143.16
2023-01-28,143.16
2023-01-29,143.16
2023-01-30,144.96
2023-01-31,142.7
2023-02-01,143.97
2023-02-02,148.9
2023-02-03,148.03
2023-02-04,148.03
2023-02-05,148.03
2023-02-06,152.57
2023-02-07,150.64
2023-02-08,153.88
2023-02-09,153.78
2023-02-10,149.46
2023-02-11,149.46
2023-02-12,149.46
2023-02-13,150.95
2023-02-14,152.12
2023-02-15,153.11
2023-02-16,153.51
2023-02-17,152.35
2023-02-18,152.35
2023-02-19,152.35
2023-02-20,152.35
2023-02-21,150.2
2023-02-22,148.87
2023-02-23,150.09
2023-02-24,147.11
2023-02-25,147.11
2023-02-26,147.11
2023-02-27,147.71
2023-02-28,147.05
2023-03-01,146.83
2023-03-02,144.38
2023-03-03,148.04
2023-03-04,148.04
2023-03-05,148.04
2023-03-06,153.79
2023-03-07,153.7
2023-03-08,152.81
2023-03-09,153.56
2023-03-10,150.21
2023-03-11,150.21
2023-03-12,150.21
2023-03-13,147.81
2023-03-14,151.28
2023-03-15,151.19
2023-03-16,152.16
2023-03-17,156.08
2023-03-18,156.08
2023-03-19,156.08
2023-03-20,155.07
2023-03-21,157.32
2023-03-22,159.3
2023-03-23,158.83
2023-03-24,158.86
2023-03-25,158.86
2023-03-26,158.86
2023-03-27,159.94
2023-03-28,157.97
2023-03-29,159.37
2023-03-30,161.53
2023-03-31,162.44
2023-04-01,162.44
2023-04-02,162.44
2023-04-03,164.27
2023-04-04,166.6
2023-04-05,164.74
2023-04-06,162.43
2023-04-07,162.43
2023-04-08,162.43
2023-04-09,162.43
2023-04-10,161.42
2023-04-11,162.35
2023-04-12,161.22
2023-04-13,161.63
2023-04-14,164.59
2023-04-15,164.59
2023-04-16,164.59
2023-04-17,165.09
2023-04-18,166.1
2023-04-19,165.8
2023-04-20,166.09
2023-04-21,165.05
2023-04-22,165.05
2023-04-23,165.05
2023-04-24,165.0
2023-04-25,165.19
2023-04-26,163.06
2023-04-27,165.19
2023-04-28,168.49
2023-04-29,168.49
2023-04-30,168.49
2023-05-01,169.28
2023-05-02,170.09
2023-05-03,169.5
2023-05-04,164.89
2023-05-05,170.98
2023-05-06,170.98
2023-05-07,170.98
2023-05-08,172.48
2023-05-09,173.05
2023-05-10,173.02
2023-05-11,173.85
2023-05-12,173.62
2023-05-13,173.62
2023-05-14,173.62
2023-05-15,173.16
2023-05-16,171.99
2023-05-17,171.71
2023-05-18,173.0
2023-05-19,176.39
2023-05-20,176.39
2023-05-21,176.39
2023-05-22,173.98
2023-05-23,173.13
2023-05-24,171.09
2023-05-25,172.41
2023-05-26,173.32
2023-05-27,173.32
2023-05-28,173.32
2023-05-29,173.32
2023-05-30,176.96
2023-05-31,177.33
2023-06-01,177.7
2023-06-02,181.03
2023-06-03,181.03
2023-06-04,181.03
2023-06-05,182.63
2023-06-06,179.97
2023-06-07,178.44
2023-06-08,177.9
2023-06-09,181.5
2023-06-10,181.5
2023-06-11,181.5
2023-06-12,181.27
2023-06-13,182.8
2023-06-14,183.37
2023-06-15,183.96
2023-06-16,186.73
2023-06-17,186.73
2023-06-18,186.73
2023-06-19,186.73
2023-06-20,184.41
2023-06-21,184.9
2023-06-22,183.74
2023-06-23,185.55
2023-06-24,185.55
2023-06-25,185.55
2023-06-26,186.83
2023-06-27,185.89
2023-06-28,187.93
2023-06-29,189.08
2023-06-30,191.63
2023-07-01,191.63
2023-07-02,191.63
2023-07-03,193.78
2023-07-04,193.78
2023-07-05,191.57
2023-07-06,189.84
2023-07-07,191.41
2023-07-08,191.41
2023-07-09,191.41
2023-07-10,189.26
2023-07-11,189.16
2023-07-12,189.68
2023-07-13,190.5
2023-07-14,190.23
2023-07-15,190.23
2023-07-16,190.23
2023-07-17,191.9
2023-07-18,193.35
2023-07-19,193.1
2023-07-20,195.09
2023-07-21,194.1
2023-07-22,194.1
2023-07-23,194.1
2023-07-24,193.41
2023-07-25,193.33
2023-07-26,193.67
2023-07-27,196.02
2023-07-28,194.67
2023-07-29,194.67
2023-07-30,194.67
2023-07-31,196.06
2023-08-01,196.24
2023-08-02,195.04
2023-08-03,191.57
2023-08-04,185.52
2023-08-05,185.52
2023-08-06,185.52
2023-08-07,182.13
2023-08-08,179.69
2023-08-09,180.87
2023-08-10,179.48
2023-08-11,177.32
2023-08-12,177.32
2023-08-13,177.32
2023-08-14,177.97
2023-08-15,178.88
2023-08-16,177.13
2023-08-17,177.14
2023-08-18,172.3
2023-08-19,172.3
2023-08-20,172.3
2023-08-21,175.07
2023-08-22,177.06
2023-08-23,178.52
2023-08-24,180.67
2023-08-25,177.38
2023-08-26,177.38
2023-08-27,177.38
2023-08-28,180.09
2023-08-29,179.7
2023-08-30,184.94
2023-08-31,187.84
