Date,Open
2023-09-01,189.49
2023-09-02,189.49
2023-09-03,189.49
2023-09-04,189.49
2023-09-05,188.28
2023-09-06,188.4
2023-09-07,175.18
2023-09-08,178.35
2023-09-09,178.35
2023-09-10,178.35
2023-09-11,180.07
2023-09-12,179.49
2023-09-13,176.51
2023-09-14,174.0
2023-09-15,176.48
2023-09-16,176.48
2023-09-17,176.48
2023-09-18,176.48
2023-09-19,177.52
2023-09-20,179.26
2023-09-21,174.55
2023-09-22,174.67
2023-09-23,174.67
2023-09-24,174.67
2023-09-25,174.2
2023-09-26,174.82
2023-09-27,172.62
2023-09-28,169.34
2023-09-29,172.02
2023-09-30,172.02
2023-10-01,172.02
2023-10-02,171.22
2023-10-03,172.26
2023-10-04,171.09
2023-10-05,173.79
2023-10-06,173.8
2023-10-07,173.8
2023-10-08,173.8
2023-10-09,176.81
2023-10-10,178.1
2023-10-11,178.2
2023-10-12,180.07
2023-10-13,181.42
2023-10-14,181.42
2023-10-15,181.42
2023-10-16,176.75
2023-10-17,176.65
2023-10-18,175.58
2023-10-19,176.04
2023-10-20,175.31
2023-10-21,175.31
2023-10-22,175.31
2023-10-23,170.91
2023-10-24,173.05
2023-10-25,171.88
2023-10-26,170.37
2023-10-27,166.91
2023-10-28,166.91
2023-10-29,166.91
2023-10-30,169.02
2023-10-31,169.35
2023-11-01,171.0
2023-11-02,175.52
2023-11-03,174.24
2023-11-04,174.24
2023-11-05,174.24
2023-11-06,176.38
2023-11-07,179.18
2023-11-08,182.35
2023-11-09,182.96
2023-11-10,183.97
2023-11-11,183.97
2023-11-12,183.97
2023-11-13,185.82
2023-11-14,187.7
2023-11-15,187.85
2023-11-16,189.57
2023-11-17,190.25
2023-11-18,190.25
2023-11-19,190.25
2023-11-20,189.89
2023-11-21,191.41
2023-11-22,191.49
2023-11-23,191.49
2023-11-24,190.87
2023-11-25,190.87
2023-11-26,190.87
2023-11-27,189.92
2023-11-28,189.78
2023-11-29,190.9
2023-11-30,189.84
2023-12-01,190.33
2023-12-02,190.33
2023-12-03,190.33
2023-12-04,189.98
2023-12-05,190.21
2023-12-06,194.45
2023-12-07,193.63
2023-12-08,194.2
2023-12-09,194.2
2023-12-10,194.2
2023-12-11,193.11
2023-12-12,193.08
2023-12-13,195.09
2023-12-14,198.02
2023-12-15,197.53
2023-12-16,197.53
2023-12-17,197.53
2023-12-18,196.09
2023-12-19,196.16
2023-12-20,196.9
2023-12-21,196.1
2023-12-22,195.18
2023-12-23,195.18
2023-12-24,195.18
2023-12-25,195.18
2023-12-26,193.61
2023-12-27,192.49
2023-12-28,194.14
2023-12-29,193.9
2023-12-30,193.9
2023-12-31,193.9
2024-01-01,193.9
2024-01-02,187.15
2024-01-03,184.22
2024-01-04,182.15
2024-01-05,181.99
2024-01-06,181.99
2024-01-07,181.99
2024-01-08,182.09
2024-01-09,183.92
2024-01-10,184.35
2024-01-11,186.54
2024-01-12,186.06
2024-01-13,186.06
2024-01-14,186.06
2024-01-15,186.06
2024-01-16,182.16
2024-01-17,181.27
2024-01-18,186.09
2024-01-19,189.33
2024-01-20,189.33
2024-01-21,189.33
2024-01-22,192.3
2024-01-23,195.02
2024-01-24,195.42
2024-01-25,195.22
2024-01-26,194.27
2024-01-27,194.27
2024-01-28,194.27
2024-01-29,192.01
2024-01-30,190.94
2024-01-31,187.04
2024-02-01,183.99
2024-02-02,179.86
2024-02-03,179.86
2024-02-04,179.86
2024-02-05,188.15
2024-02-06,186.86
2024-02-07,190.64
2024-02-08,189.39
2024-02-09,188.65
2024-02-10,188.65
2024-02-11,188.65
2024-02-12,188.42
2024-02-13,185.77
2024-02-14,185.32
2024-02-15,183.55
2024-02-16,183.42
2024-02-17,183.42
2024-02-18,183.42
2024-02-19,183.42
2024-02-20,181.79
2024-02-21,181.94
2024-02-22,183.48
2024-02-23,185.01
2024-02-24,185.01
2024-02-25,185.01
2024-02-26,182.24
2024-02-27,181.1
2024-02-28,182.51
2024-02-29,181.27
