Date,Opening Price
2022-09-01,109.199997
2022-09-02,111.339996
2022-09-06,108.135002
2022-09-07,107.760002
2022-09-08,109.18
2022-09-09,110.050003
2022-09-12,111.989998
2022-09-13,108.889999
2022-09-14,105.440002
2022-09-15,105.010002
2022-09-16,102.970001
2022-09-19,102.540001
2022-09-20,102.879997
2022-09-21,102.239998
2022-09-22,99.449997
2022-09-23,100.059998
2022-09-26,98.610001
2022-09-27,99.910004
2022-09-28,98.019997
2022-09-29,99.300003
2022-09-30,97.730003
2022-10-03,97.220001
2022-10-04,101.040001
2022-10-05,100.690002
2022-10-06,101.5
2022-10-07,100.650002
2022-10-10,99.849998
2022-10-11,98.25
2022-10-12,98.269997
2022-10-13,95.93
2022-10-14,100.625
2022-10-17,99.519997
2022-10-18,103.940002
2022-10-19,100.699997
2022-10-20,100.82
2022-10-21,98.459999
2022-10-24,102.089996
2022-10-25,103.300003
2022-10-26,96.760002
2022-10-27,94.309998
2022-10-28,92.529999
2022-10-31,95.779999
2022-11-01,95.589996
2022-11-02,90.910004
2022-11-03,86.345001
2022-11-04,85.510002
2022-11-07,87.339996
2022-11-08,89.160004
2022-11-09,88.544998
2022-11-10,92.339996
2022-11-11,94.709999
2022-11-14,95.5
2022-11-15,98.669998
2022-11-16,98.019997
2022-11-17,97.18
2022-11-18,99.010002
2022-11-21,97.559998
2022-11-22,96.160004
2022-11-23,97.339996
2022-11-25,98.464996
2022-11-28,97.199997
2022-11-29,96
2022-11-30,95.120003
2022-12-01,101.400002
2022-12-02,99.370003
2022-12-05,99.815002
2022-12-06,99.669998
2022-12-07,96.769997
2022-12-08,95.690002
2022-12-09,93.900002
2022-12-12,93.089996
2022-12-13,98.07
2022-12-14,95.540001
2022-12-15,93.540001
2022-12-16,91.199997
2022-12-19,90.879997
2022-12-20,88.730003
2022-12-21,89.730003
2022-12-22,88.93
2022-12-23,87.620003
2022-12-27,89.309998
2022-12-28,87.5
2022-12-29,87.029999
2022-12-30,87.364998
2023-01-03,89.830002
2023-01-04,91.010002
2023-01-05,88.07
2023-01-06,87.360001
2023-01-09,89.195
2023-01-10,86.720001
2023-01-11,90.059998
2023-01-12,92.400002
2023-01-13,91.528
2023-01-17,92.779999
2023-01-18,92.940002
2023-01-19,91.389999
2023-01-20,95.949997
2023-01-23,99.129997
2023-01-24,99.550003
2023-01-25,97.199997
2023-01-26,98.279999
2023-01-27,99.050003
2023-01-30,98.745003
2023-01-31,97.860001
2023-02-01,99.739998
2023-02-02,106.790001
2023-02-03,103.510002
2023-02-06,102.684998
2023-02-07,103.629997
2023-02-08,102.690002
2023-02-09,100.540001
2023-02-10,95.739998
2023-02-13,95.010002
2023-02-14,94.660004
2023-02-15,94.739998
2023-02-16,95.540001
2023-02-17,95.07
2023-02-21,93.239998
2023-02-22,91.933998
2023-02-23,92.129997
2023-02-24,89.629997
2023-02-27,90.089996
2023-02-28,89.540001
2023-03-01,90.160004
2023-03-02,89.860001
2023-03-03,92.739998
2023-03-06,94.360001
2023-03-07,95.419998
2023-03-08,94.404999
2023-03-09,94.489998
2023-03-10,92.5
2023-03-13,90.565002
2023-03-14,93.07
2023-03-15,93.540001
2023-03-16,96.57
2023-03-17,100.839996
2023-03-20,101.059998
2023-03-21,101.980003
2023-03-22,105.139999
2023-03-23,105.889999
2023-03-24,105.739998
2023-03-27,105.32
2023-03-28,103
2023-03-29,102.720001
2023-03-30,101.440002
2023-03-31,101.709999
2023-04-03,102.669998
2023-04-04,104.839996
2023-04-05,106.120003
