Date,Opening Price
2022-09-01,109.2
2022-09-02,111.34
2022-09-03,111.34
2022-09-04,111.34
2022-09-05,111.34
2022-09-06,108.14
2022-09-07,107.76
2022-09-08,109.18
2022-09-09,110.05
2022-09-10,110.05
2022-09-11,110.05
2022-09-12,111.99
2022-09-13,108.89
2022-09-14,105.44
2022-09-15,105.01
2022-09-16,102.97
2022-09-17,102.97
2022-09-18,102.97
2022-09-19,102.54
2022-09-20,102.88
2022-09-21,102.24
2022-09-22,99.45
2022-09-23,100.06
2022-09-24,100.06
2022-09-25,100.06
2022-09-26,98.61
2022-09-27,99.91
2022-09-28,98.02
2022-09-29,99.3
2022-09-30,97.73
2022-10-01,97.73
2022-10-02,97.73
2022-10-03,97.22
2022-10-04,101.04
2022-10-05,100.69
2022-10-06,101.5
2022-10-07,100.65
2022-10-08,100.65
2022-10-09,100.65
2022-10-10,99.85
2022-10-11,98.25
2022-10-12,98.27
2022-10-13,95.93
2022-10-14,100.62
2022-10-15,100.62
2022-10-16,100.62
2022-10-17,99.52
2022-10-18,103.94
2022-10-19,100.7
2022-10-20,100.82
2022-10-21,98.46
2022-10-22,98.46
2022-10-23,98.46
2022-10-24,102.09
2022-10-25,103.3
2022-10-26,96.76
2022-10-27,94.31
2022-10-28,92.53
2022-10-29,92.53
2022-10-30,92.53
2022-10-31,95.78
2022-11-01,95.59
2022-11-02,90.91
2022-11-03,86.35
2022-11-04,85.51
2022-11-05,85.51
2022-11-06,85.51
2022-11-07,87.34
2022-11-08,89.16
2022-11-09,88.54
2022-11-10,92.34
2022-11-11,94.71
2022-11-12,94.71
2022-11-13,94.71
2022-11-14,95.5
2022-11-15,98.67
2022-11-16,98.02
2022-11-17,97.18
2022-11-18,99.01
2022-11-19,99.01
2022-11-20,99.01
2022-11-21,97.56
2022-11-22,96.16
2022-11-23,97.34
2022-11-24,97.34
2022-11-25,98.46
2022-11-26,98.46
2022-11-27,98.46
2022-11-28,97.2
2022-11-29,96.0
2022-11-30,95.12
2022-12-01,101.4
2022-12-02,99.37
2022-12-03,99.37
2022-12-04,99.37
2022-12-05,99.82
2022-12-06,99.67
2022-12-07,96.77
2022-12-08,95.69
2022-12-09,93.9
2022-12-10,93.9
2022-12-11,93.9
2022-12-12,93.09
2022-12-13,98.07
2022-12-14,95.54
2022-12-15,93.54
2022-12-16,91.2
2022-12-17,91.2
2022-12-18,91.2
2022-12-19,90.88
2022-12-20,88.73
2022-12-21,89.73
2022-12-22,88.93
2022-12-23,87.62
2022-12-24,87.62
2022-12-25,87.62
2022-12-26,87.62
2022-12-27,89.31
2022-12-28,87.5
2022-12-29,87.03
2022-12-30,87.36
2022-12-31,87.36
2023-01-01,87.36
2023-01-02,87.36
2023-01-03,89.83
2023-01-04,91.01
2023-01-05,88.07
2023-01-06,87.36
2023-01-07,87.36
2023-01-08,87.36
2023-01-09,89.2
2023-01-10,86.72
2023-01-11,90.06
2023-01-12,92.4
2023-01-13,91.53
2023-01-14,91.53
2023-01-15,91.53
2023-01-16,91.53
2023-01-17,92.78
2023-01-18,92.94
2023-01-19,91.39
2023-01-20,95.95
2023-01-21,95.95
2023-01-22,95.95
2023-01-23,99.13
2023-01-24,99.55
2023-01-25,97.2
2023-01-26,98.28
2023-01-27,99.05
2023-01-28,99.05
2023-01-29,99.05
2023-01-30,98.75
2023-01-31,97.86
2023-02-01,99.74
2023-02-02,106.79
2023-02-03,103.51
2023-02-04,103.51
2023-02-05,103.51
2023-02-06,102.68
2023-02-07,103.63
2023-02-08,102.69
2023-02-09,100.54
2023-02-10,95.74
2023-02-11,95.74
2023-02-12,95.74
2023-02-13,95.01
2023-02-14,94.66
2023-02-15,94.74
2023-02-16,95.54
2023-02-17,95.07
2023-02-18,95.07
2023-02-19,95.07
2023-02-20,95.07
2023-02-21,93.24
2023-02-22,91.93
2023-02-23,92.13
2023-02-24,89.63
2023-02-25,89.63
2023-02-26,89.63
2023-02-27,90.09
2023-02-28,89.54
2023-03-01,90.16
2023-03-02,89.86
2023-03-03,92.74
2023-03-04,92.74
2023-03-05,92.74
2023-03-06,94.36
2023-03-07,95.42
2023-03-08,94.4
2023-03-09,94.49
2023-03-10,92.5
2023-03-11,92.5
2023-03-12,92.5
2023-03-13,90.57
2023-03-14,93.07
2023-03-15,93.54
2023-03-16,96.57
2023-03-17,100.84
2023-03-18,100.84
2023-03-19,100.84
2023-03-20,101.06
2023-03-21,101.98
2023-03-22,105.14
2023-03-23,105.89
2023-03-24,105.74
2023-03-25,105.74
2023-03-26,105.74
2023-03-27,105.32
2023-03-28,103.0
2023-03-29,102.72
2023-03-30,101.44
2023-03-31,101.71
2023-04-01,101.71
2023-04-02,101.71
2023-04-03,102.67
2023-04-04,104.84
2023-04-05,106.12
2023-04-06,105.77
2023-04-07,105.77
2023-04-08,105.77
2023-04-09,105.77
2023-04-10,107.39
2023-04-11,106.92
2023-04-12,107.39
2023-04-13,106.47
2023-04-14,107.69
2023-04-15,107.69
2023-04-16,107.69
2023-04-17,105.43
2023-04-18,107.0
2023-04-19,104.21
2023-04-20,104.65
2023-04-21,106.09
2023-04-22,106.09
2023-04-23,106.09
2023-04-24,106.05
2023-04-25,106.61
2023-04-26,105.56
2023-04-27,105.23
2023-04-28,107.8
2023-04-29,107.8
2023-04-30,107.8
2023-05-01,107.72
2023-05-02,107.66
2023-05-03,106.22
2023-05-04,106.16
2023-05-05,105.32
2023-05-06,105.32
2023-05-07,105.32
2023-05-08,105.79
2023-05-09,108.78
2023-05-10,108.55
2023-05-11,115.86
2023-05-12,117.0
2023-05-13,117.0
2023-05-14,117.0
2023-05-15,116.49
2023-05-16,116.83
2023-05-17,120.18
2023-05-18,121.56
2023-05-19,124.2
2023-05-20,124.2
2023-05-21,124.2
2023-05-22,123.51
2023-05-23,124.93
2023-05-24,121.88
2023-05-25,125.21
2023-05-26,124.07
2023-05-27,124.07
2023-05-28,124.07
2023-05-29,124.07
2023-05-30,126.29
2023-05-31,123.7
2023-06-01,123.5
2023-06-02,124.49
2023-06-03,124.49
2023-06-04,124.49
2023-06-05,124.61
2023-06-06,126.6
2023-06-07,127.57
2023-06-08,122.58
2023-06-09,122.56
2023-06-10,122.56
2023-06-11,122.56
2023-06-12,123.39
2023-06-13,125.65
2023-06-14,123.8
2023-06-15,123.88
2023-06-16,126.7
2023-06-17,126.7
2023-06-18,126.7
2023-06-19,126.7
2023-06-20,123.54
2023-06-21,123.24
2023-06-22,120.66
2023-06-23,122.04
2023-06-24,122.04
2023-06-25,122.04
2023-06-26,121.47
2023-06-27,117.84
2023-06-28,117.96
2023-06-29,120.09
2023-06-30,121.1
2023-07-01,121.1
2023-07-02,121.1
2023-07-03,120.32
2023-07-04,120.32
2023-07-05,120.06
2023-07-06,120.64
2023-07-07,120.89
2023-07-08,120.89
2023-07-09,120.89
2023-07-10,119.07
2023-07-11,116.76
2023-07-12,119.3
2023-07-13,121.54
2023-07-14,125.13
2023-07-15,125.13
2023-07-16,125.13
2023-07-17,126.06
2023-07-18,124.9
2023-07-19,124.79
2023-07-20,122.12
2023-07-21,120.87
2023-07-22,120.87
2023-07-23,120.87
2023-07-24,121.93
2023-07-25,121.88
2023-07-26,130.36
2023-07-27,131.8
2023-07-28,130.97
2023-07-29,130.97
2023-07-30,130.97
2023-07-31,133.01
2023-08-01,130.85
2023-08-02,129.84
2023-08-03,128.37
2023-08-04,129.6
2023-08-05,129.6
2023-08-06,129.6
2023-08-07,129.51
2023-08-08,130.98
2023-08-09,132.19
2023-08-10,131.97
2023-08-11,129.2
2023-08-12,129.2
2023-08-13,129.2
2023-08-14,129.85
2023-08-15,131.59
2023-08-16,129.28
2023-08-17,130.45
2023-08-18,129.06
2023-08-19,129.06
2023-08-20,129.06
2023-08-21,127.85
2023-08-22,129.13
2023-08-23,130.85
2023-08-24,134.73
2023-08-25,130.14
2023-08-26,130.14
2023-08-27,130.14
2023-08-28,132.08
2023-08-29,133.0
2023-08-30,135.57
2023-08-31,137.05
