Date,Open
2023-09-01,138.43
2023-09-02,138.43
2023-09-03,138.43
2023-09-04,138.43
2023-09-05,136.44
2023-09-06,137.01
2023-09-07,134.6
2023-09-08,135.87
2023-09-09,135.87
2023-09-10,135.87
2023-09-11,137.38
2023-09-12,137.13
2023-09-13,135.9
2023-09-14,138.39
2023-09-15,138.8
2023-09-16,138.8
2023-09-17,138.8
2023-09-18,137.63
2023-09-19,138.25
2023-09-20,138.83
2023-09-21,132.39
2023-09-22,131.68
2023-09-23,131.68
2023-09-24,131.68
2023-09-25,130.77
2023-09-26,130.91
2023-09-27,129.44
2023-09-28,130.69
2023-09-29,134.08
2023-09-30,134.08
2023-10-01,134.08
2023-10-02,132.15
2023-10-03,134.93
2023-10-04,133.66
2023-10-05,136.13
2023-10-06,134.94
2023-10-07,134.94
2023-10-08,134.94
2023-10-09,137.99
2023-10-10,139.51
2023-10-11,139.85
2023-10-12,142.16
2023-10-13,140.65
2023-10-14,140.65
2023-10-15,140.65
2023-10-16,139.73
2023-10-17,140.03
2023-10-18,140.75
2023-10-19,139.8
2023-10-20,138.59
2023-10-21,138.59
2023-10-22,138.59
2023-10-23,136.23
2023-10-24,139.16
2023-10-25,129.77
2023-10-26,124.47
2023-10-27,124.03
2023-10-28,124.03
2023-10-29,124.03
2023-10-30,124.46
2023-10-31,126.27
2023-11-01,125.34
2023-11-02,129.56
2023-11-03,129.09
2023-11-04,129.09
2023-11-05,129.09
2023-11-06,130.22
2023-11-07,131.98
2023-11-08,132.36
2023-11-09,133.36
2023-11-10,131.53
2023-11-11,131.53
2023-11-12,131.53
2023-11-13,133.36
2023-11-14,135.65
2023-11-15,136.64
2023-11-16,136.96
2023-11-17,137.82
2023-11-18,137.82
2023-11-19,137.82
2023-11-20,135.5
2023-11-21,137.94
2023-11-22,139.1
2023-11-23,139.1
2023-11-24,139.54
2023-11-25,139.54
2023-11-26,139.54
2023-11-27,137.57
2023-11-28,137.63
2023-11-29,138.99
2023-11-30,136.4
2023-12-01,133.32
2023-12-02,133.32
2023-12-03,133.32
2023-12-04,131.29
2023-12-05,130.37
2023-12-06,132.9
2023-12-07,136.6
2023-12-08,135.66
2023-12-09,135.66
2023-12-10,135.66
2023-12-11,133.82
2023-12-12,133.27
2023-12-13,134.54
2023-12-14,134.77
2023-12-15,132.92
2023-12-16,132.92
2023-12-17,132.92
2023-12-18,133.86
2023-12-19,138.0
2023-12-20,140.33
2023-12-21,140.77
2023-12-22,142.13
2023-12-23,142.13
2023-12-24,142.13
2023-12-25,142.13
2023-12-26,142.98
2023-12-27,142.83
2023-12-28,141.85
2023-12-29,140.68
2023-12-30,140.68
2023-12-31,140.68
2024-01-01,140.68
2024-01-02,139.6
2024-01-03,138.6
2024-01-04,139.85
2024-01-05,138.35
2024-01-06,138.35
2024-01-07,138.35
2024-01-08,138.0
2024-01-09,140.06
2024-01-10,142.52
2024-01-11,144.9
2024-01-12,144.34
2024-01-13,144.34
2024-01-14,144.34
2024-01-15,144.34
2024-01-16,143.43
2024-01-17,142.91
2024-01-18,143.44
2024-01-19,146.3
2024-01-20,146.3
2024-01-21,146.3
2024-01-22,148.71
2024-01-23,147.72
2024-01-24,150.29
2024-01-25,151.74
2024-01-26,152.87
2024-01-27,152.87
2024-01-28,152.87
2024-01-29,153.64
2024-01-30,154.01
2024-01-31,145.39
2024-02-01,143.69
2024-02-02,140.89
2024-02-03,140.89
2024-02-04,140.89
2024-02-05,144.04
2024-02-06,145.96
2024-02-07,146.12
2024-02-08,146.97
2024-02-09,147.95
2024-02-10,147.95
2024-02-11,147.95
2024-02-12,149.54
2024-02-13,146.07
2024-02-14,147.37
2024-02-15,144.46
2024-02-16,144.21
2024-02-17,144.21
2024-02-18,144.21
2024-02-19,144.21
2024-02-20,140.94
2024-02-21,142.64
2024-02-22,146.12
2024-02-23,144.97
2024-02-24,144.97
2024-02-25,144.97
2024-02-26,143.45
2024-02-27,139.41
2024-02-28,139.1
2024-02-29,138.35
