Date,Opening Prices
2022-09-01,163.580002
2022-09-02,167.449997
2022-09-06,160.100006
2022-09-07,157.759995
2022-09-08,158.710007
2022-09-09,163.25
2022-09-12,167.389999
2022-09-13,161.539993
2022-09-14,153.330002
2022-09-15,149.800003
2022-09-16,148.050003
2022-09-19,145.240005
2022-09-20,145.779999
2022-09-21,146.389999
2022-09-22,141.550003
2022-09-23,141.419998
2022-09-26,140.119995
2022-09-27,137.919998
2022-09-28,134.619995
2022-09-29,139.360001
2022-09-30,136.050003
2022-10-03,137.139999
2022-10-04,140.490005
2022-10-05,138.240005
2022-10-06,137.720001
2022-10-07,136.759995
2022-10-10,133.550003
2022-10-11,131.619995
2022-10-12,128.320007
2022-10-13,123.529999
2022-10-14,131
2022-10-17,130.300003
2022-10-18,137.089996
2022-10-19,132.889999
2022-10-20,132.929993
2022-10-21,126.309998
2022-10-24,127.25
2022-10-25,130.880005
2022-10-26,131.679993
2022-10-27,97.980003
2022-10-28,99.580002
2022-10-31,98.220001
2022-11-01,94.330002
2022-11-02,94.209999
2022-11-03,90.080002
2022-11-04,90.349998
2022-11-07,94.779999
2022-11-08,95.919998
2022-11-09,101.720001
2022-11-10,107.120003
2022-11-11,109.230003
2022-11-14,110.989998
2022-11-15,116.07
2022-11-16,114.5
2022-11-17,110.410004
2022-11-18,113.800003
2022-11-21,111.519997
2022-11-22,109.860001
2022-11-23,111.720001
2022-11-25,111.300003
2022-11-28,110.779999
2022-11-29,109.540001
2022-11-30,109.510002
2022-12-01,119.199997
2022-12-02,117.830002
2022-12-05,121.75
2022-12-06,119.910004
2022-12-07,113.760002
2022-12-08,116.389999
2022-12-09,115.300003
2022-12-12,115.18
2022-12-13,122.129997
2022-12-14,119.389999
2022-12-15,118.330002
2022-12-16,120.230003
2022-12-19,116.830002
2022-12-20,113.260002
2022-12-21,116.699997
2022-12-22,117.199997
2022-12-23,116.029999
2022-12-27,117.93
2022-12-28,116.25
2022-12-29,116.400002
2022-12-30,118.160004
2023-01-03,122.82
2023-01-04,127.379997
2023-01-05,126.129997
2023-01-06,128.970001
2023-01-09,131.160004
2023-01-10,127.269997
2023-01-11,130.960007
2023-01-12,133.440002
2023-01-13,134.970001
2023-01-17,136.179993
2023-01-18,135.809998
2023-01-19,132.490005
2023-01-20,135.889999
2023-01-23,139.289993
2023-01-24,141.690002
2023-01-25,141.220001
2023-01-26,144.399994
2023-01-27,148.240005
2023-01-30,149.410004
