Date,Opening Price
2022-09-01,258.869995
2022-09-02,261.700012
2022-09-06,256.200012
2022-09-07,254.699997
2022-09-08,257.51001
2022-09-09,260.5
2022-09-12,265.779999
2022-09-13,258.839996
2022-09-14,253.529999
2022-09-15,249.770004
2022-09-16,244.259995
2022-09-19,242.470001
2022-09-20,242.070007
2022-09-21,244.270004
2022-09-22,237.869995
2022-09-23,239.539993
2022-09-26,237.050003
2022-09-27,239.979996
2022-09-28,236.809998
2022-09-29,238.889999
2022-09-30,238.289993
2022-10-03,235.410004
2022-10-04,245.089996
2022-10-05,245.990005
2022-10-06,247.929993
2022-10-07,240.899994
2022-10-10,233.050003
2022-10-11,227.619995
2022-10-12,225.399994
2022-10-13,219.850006
2022-10-14,235.539993
2022-10-17,235.820007
2022-10-18,243.240005
2022-10-19,237.039993
2022-10-20,235.770004
2022-10-21,234.740005
2022-10-24,243.759995
2022-10-25,247.259995
2022-10-26,231.169998
2022-10-27,231.039993
2022-10-28,226.240005
2022-10-31,233.759995
2022-11-01,234.600006
2022-11-02,229.460007
2022-11-03,220.089996
2022-11-04,217.550003
2022-11-07,221.990005
2022-11-08,228.699997
2022-11-09,227.369995
2022-11-10,235.429993
2022-11-11,242.990005
2022-11-14,241.990005
2022-11-15,245.660004
2022-11-16,242.789993
2022-11-17,237.779999
2022-11-18,243.509995
2022-11-21,241.429993
2022-11-22,243.589996
2022-11-23,245.110001
2022-11-25,247.309998
2022-11-28,246.080002
2022-11-29,241.399994
2022-11-30,240.570007
2022-12-01,253.869995
2022-12-02,249.820007
2022-12-05,252.009995
2022-12-06,250.820007
2022-12-07,244.830002
2022-12-08,244.839996
2022-12-09,244.699997
2022-12-12,247.449997
2022-12-13,261.690002
2022-12-14,257.130005
2022-12-15,253.720001
2022-12-16,248.550003
2022-12-19,244.860001
2022-12-20,239.399994
2022-12-21,241.690002
2022-12-22,241.259995
2022-12-23,236.110001
2022-12-27,238.699997
2022-12-28,236.889999
2022-12-29,235.649994
2022-12-30,238.210007
2023-01-03,243.080002
2023-01-04,232.279999
2023-01-05,227.199997
2023-01-06,223
2023-01-09,226.449997
2023-01-10,227.759995
2023-01-11,231.289993
2023-01-12,235.259995
2023-01-13,237
2023-01-17,237.970001
2023-01-18,241.570007
2023-01-19,233.779999
2023-01-20,234.860001
2023-01-23,241.100006
2023-01-24,242.5
2023-01-25,234.479996
2023-01-26,243.649994
2023-01-27,248.990005
2023-01-30,244.509995
2023-01-31,243.449997
2023-02-01,248
2023-02-02,258.820007
2023-02-03,259.540009
2023-02-06,257.440002
2023-02-07,260.529999
2023-02-08,273.200012
2023-02-09,273.799988
2023-02-10,261.529999
2023-02-13,267.640015
2023-02-14,272.670013
2023-02-15,268.320007
2023-02-16,264.019989
2023-02-17,259.390015
2023-02-21,254.479996
2023-02-22,254.089996
2023-02-23,255.559998
2023-02-24,249.960007
2023-02-27,252.460007
2023-02-28,249.070007
2023-03-01,250.759995
2023-03-02,246.550003
2023-03-03,252.190002
2023-03-06,256.429993
2023-03-07,256.299988
2023-03-08,254.039993
2023-03-09,255.820007
2023-03-10,251.080002
2023-03-13,247.399994
2023-03-14,256.75
2023-03-15,259.980011
2023-03-16,265.209991
2023-03-17,278.26001
2023-03-20,276.980011
2023-03-21,274.880005
2023-03-22,273.399994
2023-03-23,277.940002
2023-03-24,277.23999
2023-03-27,280.5
2023-03-28,275.790009
2023-03-29,278.959991
2023-03-30,284.230011
2023-03-31,283.730011
2023-04-03,286.519989
2023-04-04,287.230011
2023-04-05,285.850006
2023-04-06,283.209991
2023-04-10,289.209991
2023-04-11,285.75
2023-04-12,284.790009
2023-04-13,283.589996
2023-04-14,287
2023-04-17,289.929993
2023-04-18,291.570007
2023-04-19,285.98999
2023-04-20,285.25
2023-04-21,285.01001
2023-04-24,282.089996
2023-04-25,279.51001
2023-04-26,296.700012
2023-04-27,295.970001
2023-04-28,304.01001
2023-05-01,306.970001
2023-05-02,307.76001
2023-05-03,306.619995
2023-05-04,306.23999
2023-05-05,305.720001
2023-05-08,310.130005
2023-05-09,308
2023-05-10,308.619995
2023-05-11,310.100006
2023-05-12,310.549988
2023-05-15,309.100006
