Date,Sentiment
2023-09-01,Neutral
2023-09-02,Positive
2023-09-03,Negative
2023-09-04,Neutral
2023-09-05,Neutral
2023-09-06,Positive
2023-09-07,Neutral
2023-09-08,Neutral
2023-09-09,Negative
2023-09-10,Positive
2023-09-11,Positive
2023-09-12,Negative
2023-09-13,Neutral
2023-09-14,Positive
2023-09-15,Positive
2023-09-16,Neutral
2023-09-17,Positive
2023-09-18,Positive
2023-09-19,Neutral
2023-09-20,Neutral
2023-09-21,Positive
2023-09-22,Negative
2023-09-23,Neutral
2023-09-24,Neutral
2023-09-25,Positive
2023-09-26,Positive
2023-09-27,Positive
2023-09-28,Neutral
2023-09-29,Neutral
2023-09-30,Neutral
2023-10-01,Neutral
2023-10-02,Positive
2023-10-03,Positive
2023-10-04,Neutral
2023-10-05,Positive
2023-10-06,Neutral
2023-10-07,Neutral
2023-10-08,Negative
2023-10-09,Positive
2023-10-10,Positive
2023-10-11,Neutral
2023-10-12,Neutral
2023-10-13,Neutral
2023-10-14,Neutral
2023-10-15,Positive
2023-10-16,Positive
2023-10-17,Neutral
2023-10-18,Positive
2023-10-19,Neutral
2023-10-20,Neutral
2023-10-21,Neutral
2023-10-22,Neutral
2023-10-23,Positive
2023-10-24,Positive
2023-10-25,Neutral
2023-10-26,Positive
2023-10-27,Neutral
2023-10-28,Neutral
2023-10-29,Neutral
2023-10-30,Neutral
2023-10-31,Neutral
2023-11-01,Neutral
2023-11-02,Neutral
2023-11-03,Positive
2023-11-04,Positive
2023-11-05,Positive
2023-11-06,Positive
2023-11-07,Positive
2023-11-08,Positive
2023-11-09,Positive
2023-11-10,Neutral
2023-11-11,Positive
2023-11-12,Neutral
2023-11-13,Positive
2023-11-14,Neutral
2023-11-15,Neutral
2023-11-16,Neutral
2023-11-17,Positive
2023-11-18,Positive
2023-11-19,Positive
2023-11-20,Neutral
2023-11-21,Positive
2023-11-22,Positive
2023-11-23,Positive
2023-11-24,Neutral
2023-11-25,Neutral
2023-11-26,Neutral
2023-11-27,Neutral
2023-11-28,Neutral
2023-11-29,Neutral
2023-11-30,Positive
2023-12-01,Negative
2023-12-02,Positive
2023-12-03,Positive
2023-12-04,Negative
2023-12-05,Neutral
2023-12-06,Neutral
2023-12-07,Neutral
2023-12-08,Positive
2023-12-09,Neutral
2023-12-10,Positive
2023-12-11,Positive
2023-12-12,Positive
2023-12-13,Neutral
2023-12-14,Neutral
2023-12-15,Neutral
2023-12-16,Neutral
2023-12-17,Neutral
2023-12-18,Neutral
2023-12-19,Neutral
2023-12-20,Neutral
2023-12-21,Positive
2023-12-22,Positive
2023-12-23,Neutral
2023-12-24,Positive
2023-12-25,Neutral
2023-12-26,Neutral
2023-12-27,Neutral
2023-12-28,Neutral
2023-12-29,Neutral
2023-12-30,Positive
2023-12-31,Positive
2024-01-01,Neutral
2024-01-02,Positive
2024-01-03,Neutral
2024-01-04,Neutral
2024-01-05,Positive
2024-01-06,Neutral
2024-01-07,Neutral
2024-01-08,Positive
2024-01-09,Neutral
2024-01-10,Neutral
2024-01-11,Positive
2024-01-12,Positive
2024-01-13,Neutral
2024-01-14,Positive
2024-01-15,Neutral
2024-01-16,Positive
2024-01-17,Neutral
2024-01-18,Positive
2024-01-19,Neutral
2024-01-20,Positive
2024-01-21,Positive
2024-01-22,Positive
2024-01-23,Positive
2024-01-24,Neutral
2024-01-25,Negative
2024-01-26,Neutral
2024-01-27,Neutral
2024-01-28,Neutral
2024-01-29,Positive
2024-01-30,Positive
2024-01-31,Positive
2024-02-01,Neutral
2024-02-02,Positive
2024-02-03,Neutral
2024-02-04,Positive
2024-02-05,Neutral
2024-02-06,Neutral
2024-02-07,Neutral
2024-02-08,Positive
2024-02-09,Positive
2024-02-10,Positive
2024-02-11,Positive
2024-02-12,Neutral
2024-02-13,Positive
2024-02-14,Negative
2024-02-15,Negative
2024-02-16,Positive
2024-02-17,Neutral
2024-02-18,Neutral
2024-02-19,Neutral
2024-02-20,Positive
2024-02-21,Positive
2024-02-22,Neutral
2024-02-23,Neutral
2024-02-24,Positive
2024-02-25,Neutral
2024-02-26,Neutral
2024-02-27,Neutral
2024-02-28,Neutral
2024-02-29,Neutral
