Date,Opening Price
2022-09-01,258.87
2022-09-02,261.7
2022-09-03,261.7
2022-09-04,261.7
2022-09-05,261.7
2022-09-06,256.2
2022-09-07,254.7
2022-09-08,257.51
2022-09-09,260.5
2022-09-10,260.5
2022-09-11,260.5
2022-09-12,265.78
2022-09-13,258.84
2022-09-14,253.53
2022-09-15,249.77
2022-09-16,244.26
2022-09-17,244.26
2022-09-18,244.26
2022-09-19,242.47
2022-09-20,242.07
2022-09-21,244.27
2022-09-22,237.87
2022-09-23,239.54
2022-09-24,239.54
2022-09-25,239.54
2022-09-26,237.05
2022-09-27,239.98
2022-09-28,236.81
2022-09-29,238.89
2022-09-30,238.29
2022-10-01,238.29
2022-10-02,238.29
2022-10-03,235.41
2022-10-04,245.09
2022-10-05,245.99
2022-10-06,247.93
2022-10-07,240.9
2022-10-08,240.9
2022-10-09,240.9
2022-10-10,233.05
2022-10-11,227.62
2022-10-12,225.4
2022-10-13,219.85
2022-10-14,235.54
2022-10-15,235.54
2022-10-16,235.54
2022-10-17,235.82
2022-10-18,243.24
2022-10-19,237.04
2022-10-20,235.77
2022-10-21,234.74
2022-10-22,234.74
2022-10-23,234.74
2022-10-24,243.76
2022-10-25,247.26
2022-10-26,231.17
2022-10-27,231.04
2022-10-28,226.24
2022-10-29,226.24
2022-10-30,226.24
2022-10-31,233.76
2022-11-01,234.6
2022-11-02,229.46
2022-11-03,220.09
2022-11-04,217.55
2022-11-05,217.55
2022-11-06,217.55
2022-11-07,221.99
2022-11-08,228.7
2022-11-09,227.37
2022-11-10,235.43
2022-11-11,242.99
2022-11-12,242.99
2022-11-13,242.99
2022-11-14,241.99
2022-11-15,245.66
2022-11-16,242.79
2022-11-17,237.78
2022-11-18,243.51
2022-11-19,243.51
2022-11-20,243.51
2022-11-21,241.43
2022-11-22,243.59
2022-11-23,245.11
2022-11-24,245.11
2022-11-25,247.31
2022-11-26,247.31
2022-11-27,247.31
2022-11-28,246.08
2022-11-29,241.4
2022-11-30,240.57
2022-12-01,253.87
2022-12-02,249.82
2022-12-03,249.82
2022-12-04,249.82
2022-12-05,252.01
2022-12-06,250.82
2022-12-07,244.83
2022-12-08,244.84
2022-12-09,244.7
2022-12-10,244.7
2022-12-11,244.7
2022-12-12,247.45
2022-12-13,261.69
2022-12-14,257.13
2022-12-15,253.72
2022-12-16,248.55
2022-12-17,248.55
2022-12-18,248.55
2022-12-19,244.86
2022-12-20,239.4
2022-12-21,241.69
2022-12-22,241.26
2022-12-23,236.11
2022-12-24,236.11
2022-12-25,236.11
2022-12-26,236.11
2022-12-27,238.7
2022-12-28,236.89
2022-12-29,235.65
2022-12-30,238.21
2022-12-31,238.21
2023-01-01,238.21
2023-01-02,238.21
2023-01-03,243.08
2023-01-04,232.28
2023-01-05,227.2
2023-01-06,223.0
2023-01-07,223.0
2023-01-08,223.0
2023-01-09,226.45
2023-01-10,227.76
2023-01-11,231.29
