Date,Opening Price
2022-09-01,142.089996
2022-09-02,141
2022-09-06,137.309998
2022-09-07,135.630005
2022-09-08,134.589996
2022-09-09,141.570007
2022-09-12,143.690002
2022-09-13,138.020004
2022-09-14,132.539993
2022-09-15,130.149994
2022-09-16,127.419998
2022-09-19,130.119995
2022-09-20,132.149994
2022-09-21,132.130005
2022-09-22,130.699997
2022-09-23,124.199997
2022-09-26,124.910004
2022-09-27,125.07
2022-09-28,124.099998
2022-09-29,124.480003
2022-09-30,120.870003
2022-10-03,123.470001
2022-10-04,128.789993
2022-10-05,129.110001
2022-10-06,132.199997
2022-10-07,125.050003
2022-10-10,120.370003
2022-10-11,115.610001
2022-10-12,115.790001
2022-10-13,109.709999
2022-10-14,120.57
2022-10-17,115.18
2022-10-18,123.440002
2022-10-19,118.790001
2022-10-20,121.129997
2022-10-21,120.980003
2022-10-24,125.080002
2022-10-25,126.940002
2022-10-26,128.690002
2022-10-27,136.300003
2022-10-28,131.039993
2022-10-31,137.779999
2022-11-01,138.110001
2022-11-02,138.5
2022-11-03,130.429993
2022-11-04,139.860001
2022-11-07,142.279999
2022-11-08,148.009995
2022-11-09,141.619995
2022-11-10,148
2022-11-11,158.070007
2022-11-14,162.179993
2022-11-15,167.220001
2022-11-16,161.619995
2022-11-17,157.149994
2022-11-18,159.660004
2022-11-21,151.470001
2022-11-22,153.279999
2022-11-23,160.979996
2022-11-25,163.179993
2022-11-28,160.259995
2022-11-29,158.270004
2022-11-30,156.970001
2022-12-01,169.990005
2022-12-02,166.589996
2022-12-05,166.789993
2022-12-06,165.300003
2022-12-07,157.720001
2022-12-08,162.729996
2022-12-09,171.600006
2022-12-12,170.369995
2022-12-13,185.309998
2022-12-14,179.869995
2022-12-15,171.460007
2022-12-16,168.639999
2022-12-19,165.720001
2022-12-20,160.639999
2022-12-21,161.139999
2022-12-22,160.940002
2022-12-23,151.960007
2022-12-27,150.740005
2022-12-28,139.270004
2022-12-29,144.020004
2022-12-30,143.339996
2023-01-03,148.509995
2023-01-04,145.669998
