Date,Opening Price
2022-09-01,142.09
2022-09-02,141.0
2022-09-03,141.0
2022-09-04,141.0
2022-09-05,141.0
2022-09-06,137.31
2022-09-07,135.63
2022-09-08,134.59
2022-09-09,141.57
2022-09-10,141.57
2022-09-11,141.57
2022-09-12,143.69
2022-09-13,138.02
2022-09-14,132.54
2022-09-15,130.15
2022-09-16,127.42
2022-09-17,127.42
2022-09-18,127.42
2022-09-19,130.12
2022-09-20,132.15
2022-09-21,132.13
2022-09-22,130.7
2022-09-23,124.2
2022-09-24,124.2
2022-09-25,124.2
2022-09-26,124.91
2022-09-27,125.07
2022-09-28,124.1
2022-09-29,124.48
2022-09-30,120.87
2022-10-01,120.87
2022-10-02,120.87
2022-10-03,123.47
2022-10-04,128.79
2022-10-05,129.11
2022-10-06,132.2
2022-10-07,125.05
2022-10-08,125.05
2022-10-09,125.05
2022-10-10,120.37
2022-10-11,115.61
2022-10-12,115.79
2022-10-13,109.71
2022-10-14,120.57
2022-10-15,120.57
2022-10-16,120.57
2022-10-17,115.18
2022-10-18,123.44
2022-10-19,118.79
2022-10-20,121.13
2022-10-21,120.98
2022-10-22,120.98
2022-10-23,120.98
2022-10-24,125.08
2022-10-25,126.94
2022-10-26,128.69
2022-10-27,136.3
2022-10-28,131.04
2022-10-29,131.04
2022-10-30,131.04
2022-10-31,137.78
2022-11-01,138.11
2022-11-02,138.5
2022-11-03,130.43
2022-11-04,139.86
2022-11-05,139.86
2022-11-06,139.86
2022-11-07,142.28
2022-11-08,148.01
2022-11-09,141.62
2022-11-10,148.0
2022-11-11,158.07
2022-11-12,158.07
2022-11-13,158.07
2022-11-14,162.18
2022-11-15,167.22
2022-11-16,161.62
2022-11-17,157.15
2022-11-18,159.66
2022-11-19,159.66
2022-11-20,159.66
2022-11-21,151.47
2022-11-22,153.28
2022-11-23,160.98
2022-11-24,160.98
2022-11-25,163.18
2022-11-26,163.18
2022-11-27,163.18
2022-11-28,160.26
2022-11-29,158.27
2022-11-30,156.97
2022-12-01,169.99
2022-12-02,166.59
2022-12-03,166.59
2022-12-04,166.59
2022-12-05,166.79
2022-12-06,165.3
2022-12-07,157.72
2022-12-08,162.73
2022-12-09,171.6
2022-12-10,171.6
2022-12-11,171.6
2022-12-12,170.37
2022-12-13,185.31
2022-12-14,179.87
2022-12-15,171.46
2022-12-16,168.64
2022-12-17,168.64
2022-12-18,168.64
2022-12-19,165.72
2022-12-20,160.64
2022-12-21,161.14
2022-12-22,160.94
2022-12-23,151.96
2022-12-24,151.96
2022-12-25,151.96
2022-12-26,151.96
2022-12-27,150.74
2022-12-28,139.27
2022-12-29,144.02
