Date,Opening Price
2022-09-01,272.579987
2022-09-02,281.070007
2022-09-06,272.679993
2022-09-07,273.100006
2022-09-08,281.299988
2022-09-09,291.670013
2022-09-12,300.720001
2022-09-13,292.899994
2022-09-14,292.23999
2022-09-15,301.829987
2022-09-16,299.609985
2022-09-19,300.089996
2022-09-20,306.910004
2022-09-21,308.290009
2022-09-22,299.859985
2022-09-23,283.089996
2022-09-26,271.829987
2022-09-27,283.839996
2022-09-28,283.079987
2022-09-29,282.76001
2022-09-30,266.149994
2022-10-03,254.5
2022-10-04,250.520004
2022-10-05,245.009995
2022-10-06,239.440002
2022-10-07,233.940002
2022-10-10,223.929993
2022-10-11,220.949997
2022-10-12,215.330002
2022-10-13,208.300003
2022-10-14,224.009995
2022-10-17,210.039993
2022-10-18,229.5
2022-10-19,219.800003
2022-10-20,208.279999
2022-10-21,206.419998
2022-10-24,205.820007
2022-10-25,210.100006
2022-10-26,219.399994
2022-10-27,229.770004
2022-10-28,225.399994
2022-10-31,226.190002
2022-11-01,234.050003
2022-11-02,226.039993
2022-11-03,211.360001
2022-11-04,222.600006
2022-11-07,208.649994
2022-11-08,194.020004
2022-11-09,190.779999
2022-11-10,189.899994
2022-11-11,186
2022-11-14,192.770004
2022-11-15,195.880005
2022-11-16,191.509995
2022-11-17,183.960007
2022-11-18,185.050003
2022-11-21,175.850006
2022-11-22,168.630005
2022-11-23,173.570007
2022-11-25,185.059998
2022-11-28,179.960007
2022-11-29,184.990005
2022-11-30,182.429993
2022-12-01,197.080002
2022-12-02,191.779999
2022-12-05,189.440002
2022-12-06,181.220001
2022-12-07,175.029999
2022-12-08,172.199997
2022-12-09,173.839996
2022-12-12,176.100006
2022-12-13,174.869995
2022-12-14,159.25
2022-12-15,153.440002
2022-12-16,159.639999
2022-12-19,154
2022-12-20,146.050003
2022-12-21,139.339996
2022-12-22,136
2022-12-23,126.370003
2022-12-27,117.5
2022-12-28,110.349998
2022-12-29,120.389999
2022-12-30,119.949997
2023-01-03,118.470001
2023-01-04,109.110001
2023-01-05,110.510002
2023-01-06,103
2023-01-09,118.959999
2023-01-10,121.07
2023-01-11,122.089996
2023-01-12,122.559998
2023-01-13,116.550003
2023-01-17,125.699997
2023-01-18,136.559998
2023-01-19,127.260002
2023-01-20,128.679993
2023-01-23,135.869995
2023-01-24,143
2023-01-25,141.910004
2023-01-26,159.970001
2023-01-27,162.429993
2023-01-30,178.050003
2023-01-31,164.570007
2023-02-01,173.889999
2023-02-02,187.330002
2023-02-03,183.949997
2023-02-06,193.009995
2023-02-07,196.429993
2023-02-08,196.100006
2023-02-09,207.779999
2023-02-10,202.229996
2023-02-13,194.419998
2023-02-14,191.940002
2023-02-15,211.759995
2023-02-16,210.779999
2023-02-17,199.990005
2023-02-21,204.990005
2023-02-22,197.929993
2023-02-23,203.910004
2023-02-24,196.330002
2023-02-27,202.029999
2023-02-28,210.589996
