Date,Opening Price
2022-09-01,272.58
2022-09-02,281.07
2022-09-03,281.07
2022-09-04,281.07
2022-09-05,281.07
2022-09-06,272.68
2022-09-07,273.1
2022-09-08,281.3
2022-09-09,291.67
2022-09-10,291.67
2022-09-11,291.67
2022-09-12,300.72
2022-09-13,292.9
2022-09-14,292.24
2022-09-15,301.83
2022-09-16,299.61
2022-09-17,299.61
2022-09-18,299.61
2022-09-19,300.09
2022-09-20,306.91
2022-09-21,308.29
2022-09-22,299.86
2022-09-23,283.09
2022-09-24,283.09
2022-09-25,283.09
2022-09-26,271.83
2022-09-27,283.84
2022-09-28,283.08
2022-09-29,282.76
2022-09-30,266.15
2022-10-01,266.15
2022-10-02,266.15
2022-10-03,254.5
2022-10-04,250.52
2022-10-05,245.01
2022-10-06,239.44
2022-10-07,233.94
2022-10-08,233.94
2022-10-09,233.94
2022-10-10,223.93
2022-10-11,220.95
2022-10-12,215.33
2022-10-13,208.3
2022-10-14,224.01
2022-10-15,224.01
2022-10-16,224.01
2022-10-17,210.04
2022-10-18,229.5
2022-10-19,219.8
2022-10-20,208.28
2022-10-21,206.42
2022-10-22,206.42
2022-10-23,206.42
2022-10-24,205.82
2022-10-25,210.1
2022-10-26,219.4
2022-10-27,229.77
2022-10-28,225.4
2022-10-29,225.4
2022-10-30,225.4
2022-10-31,226.19
2022-11-01,234.05
2022-11-02,226.04
2022-11-03,211.36
2022-11-04,222.6
2022-11-05,222.6
2022-11-06,222.6
2022-11-07,208.65
2022-11-08,194.02
2022-11-09,190.78
2022-11-10,189.9
2022-11-11,186.0
2022-11-12,186.0
2022-11-13,186.0
2022-11-14,192.77
2022-11-15,195.88
2022-11-16,191.51
2022-11-17,183.96
2022-11-18,185.05
2022-11-19,185.05
2022-11-20,185.05
2022-11-21,175.85
2022-11-22,168.63
2022-11-23,173.57
2022-11-24,173.57
2022-11-25,185.06
2022-11-26,185.06
2022-11-27,185.06
2022-11-28,179.96
2022-11-29,184.99
2022-11-30,182.43
2022-12-01,197.08
2022-12-02,191.78
2022-12-03,191.78
2022-12-04,191.78
2022-12-05,189.44
2022-12-06,181.22
2022-12-07,175.03
2022-12-08,172.2
2022-12-09,173.84
2022-12-10,173.84
2022-12-11,173.84
2022-12-12,176.1
2022-12-13,174.87
2022-12-14,159.25
2022-12-15,153.44
2022-12-16,159.64
2022-12-17,159.64
2022-12-18,159.64
2022-12-19,154.0
2022-12-20,146.05
2022-12-21,139.34
2022-12-22,136.0
2022-12-23,126.37
2022-12-24,126.37
2022-12-25,126.37
2022-12-26,126.37
2022-12-27,117.5
2022-12-28,110.35
2022-12-29,120.39
2022-12-30,119.95
2022-12-31,119.95
2023-01-01,119.95
2023-01-02,119.95
2023-01-03,118.47
2023-01-04,109.11
2023-01-05,110.51
2023-01-06,103.0
2023-01-07,103.0
2023-01-08,103.0
2023-01-09,118.96
2023-01-10,121.07
2023-01-11,122.09
2023-01-12,122.56
2023-01-13,116.55
2023-01-14,116.55
2023-01-15,116.55
2023-01-16,116.55
2023-01-17,125.7
2023-01-18,136.56
2023-01-19,127.26
2023-01-20,128.68
2023-01-21,128.68
2023-01-22,128.68
2023-01-23,135.87
2023-01-24,143.0
2023-01-25,141.91
2023-01-26,159.97
2023-01-27,162.43
2023-01-28,162.43
2023-01-29,162.43
2023-01-30,178.05
2023-01-31,164.57
2023-02-01,173.89
2023-02-02,187.33
2023-02-03,183.95
2023-02-04,183.95
2023-02-05,183.95
2023-02-06,193.01
2023-02-07,196.43
2023-02-08,196.1
2023-02-09,207.78
2023-02-10,202.23
2023-02-11,202.23
